row_id,county_id,NAME,year,month,label_next_month
56,0,Alameda,2020,1,0
57,0,Alameda,2020,2,0
58,0,Alameda,2020,3,0
59,0,Alameda,2020,4,0
60,0,Alameda,2020,5,0
61,0,Alameda,2020,6,0
62,0,Alameda,2020,7,1
63,0,Alameda,2020,8,0
64,0,Alameda,2020,9,0
65,0,Alameda,2020,10,0
66,0,Alameda,2020,11,0
79,1,Alpine,2020,7,1
80,1,Alpine,2020,8,1
81,1,Alpine,2020,9,0
120,2,Amador,2020,1,0
121,2,Amador,2020,2,0
122,2,Amador,2020,4,0
123,2,Amador,2020,9,0
124,2,Amador,2020,10,0
180,3,Butte,2020,1,1
181,3,Butte,2020,2,1
182,3,Butte,2020,3,1
183,3,Butte,2020,4,0
184,3,Butte,2020,5,0
185,3,Butte,2020,6,0
186,3,Butte,2020,7,1
187,3,Butte,2020,8,1
188,3,Butte,2020,9,1
189,3,Butte,2020,10,1
190,3,Butte,2020,11,0
235,4,Calaveras,2020,1,0
236,4,Calaveras,2020,2,0
237,4,Calaveras,2020,3,0
238,4,Calaveras,2020,4,0
239,4,Calaveras,2020,5,1
240,4,Calaveras,2020,6,0
241,4,Calaveras,2020,7,0
242,4,Calaveras,2020,8,0
243,4,Calaveras,2020,10,0
244,4,Calaveras,2020,11,0
302,5,Colusa,2020,1,1
303,5,Colusa,2020,2,1
304,5,Colusa,2020,3,0
305,5,Colusa,2020,4,0
306,5,Colusa,2020,5,0
307,5,Colusa,2020,6,0
308,5,Colusa,2020,7,1
309,5,Colusa,2020,8,1
310,5,Colusa,2020,10,1
311,5,Colusa,2020,11,1
370,6,Contra Costa,2020,1,1
371,6,Contra Costa,2020,2,1
372,6,Contra Costa,2020,3,1
373,6,Contra Costa,2020,4,1
374,6,Contra Costa,2020,5,1
375,6,Contra Costa,2020,6,1
376,6,Contra Costa,2020,7,1
377,6,Contra Costa,2020,8,1
378,6,Contra Costa,2020,9,1
379,6,Contra Costa,2020,10,1
380,6,Contra Costa,2020,11,1
400,7,Del Norte,2020,9,0
401,7,Del Norte,2020,10,0
454,8,El Dorado,2020,1,1
455,8,El Dorado,2020,2,0
456,8,El Dorado,2020,3,0
457,8,El Dorado,2020,4,0
458,8,El Dorado,2020,5,0
459,8,El Dorado,2020,6,0
460,8,El Dorado,2020,7,0
461,8,El Dorado,2020,8,1
462,8,El Dorado,2020,9,0
463,8,El Dorado,2020,10,0
464,8,El Dorado,2020,11,1
523,9,Fresno,2020,1,1
524,9,Fresno,2020,2,1
525,9,Fresno,2020,3,1
526,9,Fresno,2020,4,1
527,9,Fresno,2020,5,1
528,9,Fresno,2020,6,1
529,9,Fresno,2020,7,1
530,9,Fresno,2020,8,1
531,9,Fresno,2020,9,1
532,9,Fresno,2020,10,1
533,9,Fresno,2020,11,0
590,10,Glenn,2020,1,1
591,10,Glenn,2020,2,1
592,10,Glenn,2020,3,1
593,10,Glenn,2020,4,0
594,10,Glenn,2020,5,0
595,10,Glenn,2020,6,0
596,10,Glenn,2020,7,1
597,10,Glenn,2020,8,1
598,10,Glenn,2020,9,1
599,10,Glenn,2020,10,1
600,10,Glenn,2020,11,1
651,11,Humboldt,2020,1,0
652,11,Humboldt,2020,2,0
653,11,Humboldt,2020,3,0
654,11,Humboldt,2020,4,0
655,11,Humboldt,2020,5,1
656,11,Humboldt,2020,7,1
657,11,Humboldt,2020,8,1
658,11,Humboldt,2020,9,1
659,11,Humboldt,2020,10,1
660,11,Humboldt,2020,11,1
718,12,Imperial,2020,1,0
719,12,Imperial,2020,2,0
720,12,Imperial,2020,3,0
721,12,Imperial,2020,4,0
722,12,Imperial,2020,5,0
723,12,Imperial,2020,6,0
724,12,Imperial,2020,7,0
725,12,Imperial,2020,8,0
726,12,Imperial,2020,9,1
727,12,Imperial,2020,10,0
728,12,Imperial,2020,11,0
748,13,Inyo,2020,2,0
749,13,Inyo,2020,6,1
750,13,Inyo,2020,7,1
809,14,Kern,2020,1,1
810,14,Kern,2020,2,1
811,14,Kern,2020,3,1
812,14,Kern,2020,4,1
813,14,Kern,2020,5,1
814,14,Kern,2020,6,0
815,14,Kern,2020,7,1
816,14,Kern,2020,8,0
817,14,Kern,2020,9,0
818,14,Kern,2020,10,0
819,14,Kern,2020,11,0
876,15,Kings,2020,1,0
877,15,Kings,2020,2,0
878,15,Kings,2020,3,0
879,15,Kings,2020,4,0
880,15,Kings,2020,5,0
881,15,Kings,2020,6,0
882,15,Kings,2020,7,0
883,15,Kings,2020,8,0
884,15,Kings,2020,9,0
885,15,Kings,2020,10,0
886,15,Kings,2020,11,0
937,16,Lake,2020,1,1
